"scrubbed_family","scrubbed_species_binomial","latitude","longitude","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id"
"Orchidaceae","Cleistesiopsis bifaria",35.450336,-82.034006,2016-05-31,"GBIF","iNaturalist","iNaturalist","iNaturalist","Observations",3123
"Orchidaceae","Cleistesiopsis bifaria",35.084157,-82.581825,2016-05-30,"GBIF","iNaturalist","iNaturalist","iNaturalist","Observations",3123
"Orchidaceae","Cleistesiopsis bifaria",36.074756,-84.806153,2017-05-22,"GBIF","iNaturalist","iNaturalist","iNaturalist","Observations",3123
"Orchidaceae","Cleistesiopsis bifaria",37.259211,-80.237216,2014-06-26,"GBIF","iNaturalist","iNaturalist","iNaturalist","Observations",3123
"Orchidaceae","Cleistesiopsis divaricata",29.860804,-84.877188,2011-05-15,"GBIF","iNaturalist","iNaturalist","iNaturalist","Observations",3123
"Orchidaceae","Cleistesiopsis divaricata",30.490219,-89.625778,2014-05-17,"GBIF","iNaturalist","iNaturalist","iNaturalist","Observations",3123
"Orchidaceae","Cleistesiopsis divaricata",35.5,-80,1891-07-01,"GBIF","F","F","F","Botany",3567
"Orchidaceae","Cleistesiopsis divaricata",35.5,-80,1891-06-25,"GBIF","F","F","F","Botany",3567
"Orchidaceae","Cleistesiopsis divaricata",32,-84,1909-05-30,"GBIF","F","F","F","Botany",3567
"Orchidaceae","Cleistesiopsis divaricata",34.131726,-78.333155,2015-05-16,"GBIF","iNaturalist","iNaturalist","iNaturalist","Observations",3123
"Orchidaceae","Cleistesiopsis divaricata",35.5,-80,1891-06-22,"GBIF","F","F","F","Botany",3567
"Orchidaceae","Cleistesiopsis divaricata",32,-84,1947-05-22,"GBIF","F","F","F","Botany",3567
"Orchidaceae","Cleistesiopsis divaricata",35.5,-85,1940-06-21,"GBIF","F","F","F","Botany",3567
"Orchidaceae","Cleistesiopsis divaricata",35.5,-80,1891-07-02,"GBIF","F","F","F","Botany",3567
"Orchidaceae","Cleistesiopsis divaricata",35.5,-80,1891-07-02,"GBIF","F","F","F","Botany",3567
"Orchidaceae","Cleistesiopsis divaricata",30.577785,-89.446257,2014-05-17,"GBIF","iNaturalist","iNaturalist","iNaturalist","Observations",3123
"Orchidaceae","Cleistesiopsis divaricata",35.5,-80,1937-06-02,"GBIF","F","F","F","Botany",3567
"Orchidaceae","Cleistesiopsis divaricata",34.142463,-78.322513,2011-05-27,"GBIF","iNaturalist","iNaturalist","iNaturalist","Observations",3123
"Orchidaceae","Cleistesiopsis divaricata",31.391533,-99.170653,NA,"GBIF","F","F","F","Botany",3567
"Orchidaceae","Cleistesiopsis divaricata",34.160201,-78.122103,2016-06-08,"GBIF","iNaturalist","iNaturalist","iNaturalist","Observations",3123
"Orchidaceae","Cleistesiopsis divaricata",34.129688,-78.209175,2014-05-17,"GBIF","iNaturalist","iNaturalist","iNaturalist","Observations",3123
"Orchidaceae","Cleistesiopsis divaricata",35.5,-80,1891-06-09,"GBIF","F","F","F","Botany",3567
"Orchidaceae","Cleistesiopsis divaricata",35.5,-80,1918-06-01,"GBIF","F","F","F","Botany",3567
"Orchidaceae","Cleistesiopsis divaricata",35.5,-80,1891-07-09,"GBIF","F","F","F","Botany",3567
"Orchidaceae","Cleistesiopsis divaricata",35.5,-85,1948-06-24,"GBIF","F","F","F","Botany",3567
"Orchidaceae","Cleistesiopsis divaricata",30.483853,-89.811672,2011-05-07,"GBIF","iNaturalist","iNaturalist","iNaturalist","Observations",3123
"Orchidaceae","Cleistesiopsis divaricata",40,-75,1877-09-27,"GBIF","F","F","F","Botany",3567
"Orchidaceae","Cleistesiopsis divaricata",35.5,-80,1891-07-01,"GBIF","F","F","F","Botany",3567
"Orchidaceae","Cleistesiopsis divaricata",35.5,-80,1891-07-01,"GBIF","F","F","F","Botany",3567
"Orchidaceae","Cleistesiopsis divaricata",33,-90,1898-05-13,"GBIF","F","F","F","Botany",3567
"Orchidaceae","Cleistesiopsis divaricata",30.748833,-81.7585,1999-05-15,"GBIF","FLAS","FLAS","FLAS",NA,3306
"Orchidaceae","Cleistesiopsis divaricata",31.023056,-87.684167,2017-05-28,"GBIF","iNaturalist","iNaturalist","iNaturalist","Observations",3123
"Orchidaceae","Cleistesiopsis divaricata",40,-75,1875-01-01,"GBIF","F","F","F","Botany",3567
"Orchidaceae","Cleistesiopsis divaricata",35.5,-80,1891-06-25,"GBIF","F","F","F","Botany",3567
"Orchidaceae","Cleistesiopsis divaricata",35.5,-80,1879-06-01,"GBIF","F","F","F","Botany",3567
"Orchidaceae","Cleistesiopsis divaricata",34.15614,-78.133323,2013-06-04,"GBIF","iNaturalist","iNaturalist","iNaturalist","Observations",3123
"Orchidaceae","Cleistesiopsis divaricata",35.5,-80,1879-06-13,"GBIF","F","F","F","Botany",3567
