"";"output.SpeciesAuthor";"output.Country";"output.Lat";"output.Lon"
"1";"Aspasia_principissa";"PAN";"9.16666666666667";"-79.85"
"2";"Guarianthe_aurantiaca";"MEX";"15.0505555555556";"-95.08475"
"3";"Jacquiniella_leucomelana";"MEX";"19.5166666666667";"-96.95"
"4";"Jacquiniella_leucomelana_2";"MEX";"19.5166666666667";"-96.95"
"5";"Jacquiniella_teretifolia";"MEX";"19.5166666666667";"-96.95"
"6";"Jacquiniella_teretifolia_2";"MEX";"19.5166666666667";"-96.95"
"7";"Lepanthes_caritensis";"PRI";"18.1";"-66.05"
"8";"Lepanthes_caritensis";"PRI";"18.1";"-66.05"
"9";"Lepanthes_caritensis";"PRI";"18.1";"-66.05"
"10";"Lepanthes_caritensis";"PRI";"18.1";"-66.05"
"11";"Lepanthes_caritensis";"PRI";"18.1";"-66.05"
"12";"Lepanthes_caritensis";"PRI";"18.1";"-66.05"
"13";"Lepanthes_eltoroensis";"USA";"18.3";"-65.7833333333333"
"14";"Lepanthes_eltoroensis";"USA";"18.3";"-65.7833333333333"
"15";"Lepanthes_eltoroensis";"USA";"18.3";"-65.7833333333333"
"16";"Lepanthes_rubripetala";"USA";"18.3";"-65.7833333333333"
"17";"Lepanthes_rubripetala";"USA";"18.3";"-65.7833333333333"
"18";"Lepanthes_rubripetala";"USA";"18.3";"-65.7833333333333"
"19";"Lepanthes_rubripetala";"USA";"18.3";"-65.7833333333333"
"20";"Lepanthes_rubripetala";"USA";"18.3";"-65.7833333333333"
"21";"Lepanthes_rubripetala";"USA";"18.3";"-65.7833333333333"
"22";"Lycaste_aromatica";"MEX";"19.5166666666667";"-96.95"
"23";"Lycaste_aromatica_2";"MEX";"19.5166666666667";"-96.95"
"24";"Tolumnia_variegata";"PRI";"18.4501388888889";"-66.5849444444444"
"25";"Cleistes_divaricata_var._bifaria";"USA";"29.65";"-82.2833333333333"
"26";"Cleistes_divaricata_var._bifaria";"USA";"29.65";"-82.2833333333333"
"27";"Cleistes_divaricata_var._divaricata";"USA";"34.0833333333333";"-78.3"
"28";"Corallorhiza_trifida";"ESP";"42.6333333333333";"0.0833333333333333"
"29";"Cypripedium_calceolus";"POL";"53.2666666666667";"22.65"
"30";"Cypripedium_calceolus";"POL";"53.2666666666667";"22.65"
"31";"Cypripedium_calceolus";"POL";"53.2666666666667";"22.65"
"32";"Cypripedium_calceolus_2";"ESP";"42.7669722222222";"0.350777777777778"
"33";"Cypripedium_calceolus_2";"ESP";"42.7669722222222";"0.350777777777778"
"34";"Cypripedium_calceolus_3";"ESP";"42.6509444444444";"0.117027777777778"
"35";"Cypripedium_fasciculatum";"USA";"42.3333333333333";"-123.516666666667"
"36";"Cypripedium_fasciculatum";"USA";"42.25";"-123.166666666667"
"37";"Cypripedium_fasciculatum";"USA";"42.3333333333333";"-122.45"
"38";"Cypripedium_lentiginosum";"CHN";"23.1166666666667";"104.633333333333"
"39";"Cypripedium_parviflorum_var._parviflorum";"USA";"42.387742";"-88.129684"
"40";"Dactylorhiza_lapponica";"NOR";"62.6666666666667";"11.8333333333333"
"41";"Dactylorhiza_lapponica";"NOR";"63.05";"9.08333333333333"
"42";"Dactylorhiza_lapponica_3";"NOR";"62.6666666666667";"11.8333333333333"
"43";"Dactylorhiza_lapponica_3";"NOR";"63.05";"9.08333333333333"
"44";"Epipactis_atrorubens";"FIN";"66.3666666666667";"29.3166666666667"
"45";"Epipactis_atrorubens";"FIN";"66.3666666666667";"29.3166666666667"
"46";"Herminium_monorchis";"GBR";"51.8833333333333";"0.583333333333333"
"47";"Himantoglossum_hircinum";"DEU";"50.9346111111111";"11.5843055555556"
"48";"Himantoglossum_hircinum_2";"DEU";"50.9346111111111";"11.5843055555556"
"49";"Lepanthes_rupestris";"PRI";"18.35";"-65.8166666666667"
"50";"Lepanthes_rupestris";"PRI";"18.35";"-65.8166666666667"
"51";"Lepanthes_rupestris";"PRI";"18.35";"-65.8166666666667"
"52";"Lepanthes_rupestris";"PRI";"18.3166666666667";"-65.8166666666667"
"53";"Lepanthes_rupestris";"PRI";"18.3166666666667";"-65.8166666666667"
"54";"Lepanthes_rupestris";"PRI";"18.3166666666667";"-65.8166666666667"
"55";"Lepanthes_rupestris";"PRI";"18.3166666666667";"-65.8166666666667"
"56";"Lepanthes_rupestris_2";"PRI";"18.3169166666667";"-65.8175"
"57";"Lepanthes_rupestris_2";"PRI";"18.3169166666667";"-65.8175"
"58";"Lepanthes_rupestris_2";"PRI";"18.3169166666667";"-65.8175"
"59";"Lepanthes_rupestris_2";"PRI";"18.3171388888889";"-65.8169722222222"
"60";"Lepanthes_rupestris_2";"PRI";"18.3171388888889";"-65.8169722222222"
"61";"Lepanthes_rupestris_2";"PRI";"18.3171388888889";"-65.8169722222222"
"62";"Lepanthes_rupestris_2";"PRI";"18.3171388888889";"-65.8169722222222"
"63";"Neotinea_ustulata";"EST";"58.5506111111111";"23.1681111111111"
"64";"Neotinea_ustulata";"EST";"59.2505277777778";"25.7172777777778"
"65";"Neotinea_ustulata";"EST";"58.6178333333333";"23.2007222222222"
